"Date","Price","Open","High","Low","Vol.","Change %"
"03/25/2022","98.822","98.740","98.865","98.420","11.83K","0.02%"
"03/28/2022","99.055","98.840","99.365","98.820","22.62K","0.24%"
"03/29/2022","98.441","99.050","99.265","98.055","32.14K","-0.62%"
"03/30/2022","97.875","98.465","98.490","97.730","20.77K","-0.57%"
"03/31/2022","98.360","97.900","98.440","97.760","21.39K","0.50%"
"04/01/2022","98.627","98.360","98.755","98.345","16.69K","0.27%"
"04/04/2022","98.974","98.630","99.070","98.515","14.02K","0.35%"
"04/05/2022","99.428","98.975","99.505","98.820","25.44K","0.46%"
"04/06/2022","99.615","99.480","99.800","99.315","27.26K","0.19%"
"04/07/2022","99.760","99.665","99.850","99.435","17.54K","0.15%"
"04/08/2022","99.753","99.825","100.200","99.745","25.96K","-0.01%"
"04/11/2022","99.924","99.690","100.050","99.610","14.58K","0.17%"
"04/12/2022","100.292","100.020","100.335","99.740","21.00K","0.37%"
"04/13/2022","99.913","100.320","100.515","99.805","33.30K","-0.38%"
"04/14/2022","100.326","99.840","100.770","99.555","39.50K","0.41%"
"04/18/2022","100.766","100.470","100.850","100.450","10.33K","0.44%"
"04/19/2022","100.964","100.800","101.030","100.680","14.35K","0.20%"
"04/20/2022","100.417","101.000","101.045","100.215","26.31K","-0.54%"
"04/21/2022","100.614","100.350","100.675","99.810","32.55K","0.20%"
"04/22/2022","101.213","100.635","101.340","100.485","30.37K","0.60%"
"04/25/2022","101.769","101.105","101.865","101.050","19.57K","0.55%"
"04/26/2022","102.318","101.705","102.370","101.535","23.22K","0.54%"
"04/27/2022","102.963","102.330","103.290","102.240","37.47K","0.63%"
"04/28/2022","103.659","103.025","103.950","103.010","54.11K","0.68%"
"04/29/2022","102.963","103.685","103.685","102.810","43.62K","-0.67%"
"05/02/2022","103.766","103.225","103.775","103.120","14.29K","0.78%"
"05/03/2022","103.496","103.600","103.700","103.060","13.75K","-0.26%"
"05/04/2022","102.594","103.480","103.670","102.480","26.02K","-0.87%"
"05/05/2022","103.802","102.570","103.970","102.375","42.44K","1.18%"
"05/06/2022","103.694","103.610","104.105","103.235","30.56K","-0.10%"
"05/09/2022","103.689","103.690","104.210","103.420","33.56K","0.00%"
